case:concept:name;case:flops;case:num_kernels
algorithm36;6.51e+08;10
algorithm67;6.6e+08;10
algorithm94;6.76e+08;10
algorithm53;6.59e+08;8
algorithm12;6.23e+08;10
algorithm43;6.51e+08;10
algorithm84;6.75e+08;8
algorithm77;6.75e+08;8
algorithm26;6.5e+08;8
algorithm57;6.59e+08;8
algorithm63;6.6e+08;10
algorithm32;6.5e+08;8
algorithm90;6.76e+08;10
algorithm80;6.75e+08;8
algorithm22;6.23e+08;10
algorithm73;6.6e+08;10
algorithm47;6.51e+08;10
algorithm16;6.23e+08;10
algorithm56;6.59e+08;8
algorithm62;6.6e+08;10
algorithm33;6.5e+08;8
algorithm91;6.76e+08;10
algorithm81;6.75e+08;8
algorithm23;6.23e+08;10
algorithm72;6.6e+08;10
algorithm46;6.51e+08;10
algorithm17;6.23e+08;10
algorithm37;6.51e+08;10
algorithm66;6.6e+08;10
algorithm95;6.76e+08;10
algorithm52;6.59e+08;8
algorithm13;6.23e+08;10
algorithm42;6.51e+08;10
algorithm85;6.75e+08;8
algorithm76;6.75e+08;8
algorithm27;6.5e+08;8
algorithm59;6.6e+08;10
algorithm18;6.23e+08;10
algorithm49;6.51e+08;10
algorithm1;6.22e+08;8
algorithm69;6.6e+08;10
algorithm38;6.51e+08;10
algorithm28;6.5e+08;8
algorithm79;6.75e+08;8
algorithm5;6.22e+08;8
algorithm68;6.6e+08;10
algorithm39;6.51e+08;10
algorithm29;6.5e+08;8
algorithm78;6.75e+08;8
algorithm4;6.22e+08;8
algorithm58;6.59e+08;8
algorithm19;6.23e+08;10
algorithm48;6.51e+08;10
algorithm0;6.22e+08;8
algorithm98;6.76e+08;10
algorithm88;6.76e+08;10
algorithm7;6.22e+08;8
algorithm3;6.22e+08;8
algorithm2;6.22e+08;8
algorithm99;6.76e+08;10
algorithm89;6.76e+08;10
algorithm6;6.22e+08;8
algorithm55;6.59e+08;8
algorithm92;6.76e+08;10
algorithm30;6.5e+08;8
algorithm61;6.6e+08;10
algorithm71;6.6e+08;10
algorithm20;6.23e+08;10
algorithm82;6.75e+08;8
algorithm14;6.23e+08;10
algorithm45;6.51e+08;10
algorithm96;6.76e+08;10
algorithm65;6.6e+08;10
algorithm34;6.51e+08;10
algorithm51;6.59e+08;8
algorithm41;6.51e+08;10
algorithm10;6.23e+08;10
algorithm24;6.23e+08;10
algorithm75;6.75e+08;8
algorithm86;6.76e+08;10
algorithm9;6.23e+08;10
algorithm97;6.76e+08;10
algorithm64;6.6e+08;10
algorithm35;6.51e+08;10
algorithm50;6.59e+08;8
algorithm40;6.51e+08;10
algorithm11;6.23e+08;10
algorithm25;6.5e+08;8
algorithm74;6.6e+08;10
algorithm87;6.76e+08;10
algorithm8;6.22e+08;8
algorithm54;6.59e+08;8
algorithm93;6.76e+08;10
algorithm31;6.5e+08;8
algorithm60;6.6e+08;10
algorithm70;6.6e+08;10
algorithm21;6.23e+08;10
algorithm83;6.75e+08;8
algorithm15;6.23e+08;10
algorithm44;6.51e+08;10
